id,name,ingredients,description,photo_url,cooking_time,ingredient_types,cooking_steps
27,"Dhokla","gram flour, yogurt, ginger, green chilies, baking soda, mustard seeds, curry leaves","A steamed savory cake from Gujarat, made with gram flour.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9EaG9rbGEt/UXVlZW4tU2l6ZS5qcGc","30 minutes","mixed, steamed, tempered","1. Prepare Batter: Mix 1 cup of gram flour with 1/2 cup of yogurt, 1 teaspoon of ginger-green chili paste, 1/4 teaspoon of turmeric powder, and salt. Add water to make a smooth batter.|2. Add Baking Soda: Add 1 teaspoon of baking soda and mix well.|3. Steam Dhokla: Pour the batter into a greased steaming plate. Steam for 15-20 minutes.|4. Prepare Tempering: Heat 2 tablespoons of oil. Add mustard seeds, curry leaves, and green chilies. Let them splutter.|5. Pour Tempering: Pour the tempering over the steamed dhokla.|6. Cut and Serve: Cut the dhokla into squares and serve hot with chutney."
29,"Butter Chicken","chicken, tomatoes, butter, cream, spices, ginger, garlic","Tender chicken cooked in a rich, buttery tomato sauce.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9CdXR0ZXIt/Q2hpY2tlbi1RdWVl/bi1TaXplLmpwZw","1 hour","marinated, grilled, simmered","1. Marinate Chicken: Marinate 1 kg of boneless chicken pieces with yogurt, ginger-garlic paste, chili powder, turmeric powder, and garam masala for 1 hour.|2. Grill Chicken: Grill the marinated chicken pieces until cooked.|3. Prepare Gravy: Heat 2 tablespoons of butter. Add chopped onions and sauté until golden. Add ginger-garlic paste and sauté.|4. Add Tomatoes and Spices: Add chopped tomatoes, chili powder, coriander powder, garam masala, and kasuri methi. Sauté until oil separates.|5. Add Cream and Butter: Add 1/2 cup of cream and 2 tablespoons of butter. Simmer for 5 minutes.|6. Add Chicken: Add the grilled chicken pieces to the gravy. Simmer for 10 minutes.|7. Garnish and Serve: Garnish with cream and coriander leaves. Serve hot with naan or rice."

30,"Rajma Chawal","kidney beans, onions, tomatoes, ginger, garlic, spices, rice","A North Indian dish of red kidney beans in a thick gravy, served with rice.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9SYWptYS1D/aGF3YWwtUXVlZW4t/U2l6ZS5qcGc","1 hour 30 minutes (excluding soaking)","soaked, cooked, simmered","1. Soak Kidney Beans: Soak 1 cup of kidney beans overnight.|2. Cook Kidney Beans: Cook the soaked kidney beans with water and salt until tender.|3. Prepare Gravy: Heat 2 tablespoons of oil. Add cumin seeds, chopped onions, and sauté until golden. Add ginger-garlic paste and sauté.|4. Add Tomatoes and Spices: Add chopped tomatoes, chili powder, coriander powder, garam masala, and amchur powder. Sauté until oil separates.|5. Combine Kidney Beans and Gravy: Add the cooked kidney beans to the gravy. Simmer for 20 minutes.|6. Prepare Rice: Cook rice separately.|7. Serve Hot: Serve the rajma hot with rice."

31,"Aloo Paratha","potatoes, wheat flour, spices, ghee","Flatbread stuffed with a spiced potato mixture, a popular North Indian breakfast.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9BbG9vLVBh/cmF0aGEtUXVlZW4t/U2l6ZS5qcGc","40 minutes","boiled, mashed, stuffed, cooked","1. Prepare Potato Filling: Boil 4 potatoes, peel, and mash them. Add chopped onions, green chilies, coriander leaves, chili powder, garam masala, and salt. Mix well.|2. Prepare Dough: Knead 2 cups of wheat flour with water and salt into a soft dough.|3. Stuff Paratha: Divide the dough into small balls. Roll them out and stuff with the potato filling. Seal the edges.|4. Cook Paratha: Roll out the stuffed dough into a flatbread. Cook on a hot griddle with ghee until golden brown.|5. Serve Hot: Serve the aloo paratha hot with yogurt or pickle."
33,"Chicken 65","chicken, yogurt, ginger, garlic, curry leaves, chili powder, cornflour","Spicy, deep-fried chicken appetizer from South India.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9DaGlja2Vu/LTY1LVF1ZWVuLVNp/emUuanBn","30 minutes","marinated, deep-fried, tempered","1. Marinate Chicken: Marinate 500g of boneless chicken pieces with yogurt, ginger-garlic paste, chili powder, turmeric powder, garam masala, cornflour, and lemon juice for 30 minutes.|2. Deep-fry Chicken: Deep-fry the marinated chicken pieces until golden brown and cooked.|3. Prepare Tempering: Heat 2 tablespoons of oil. Add curry leaves, green chilies, and ginger-garlic paste. Sauté for a few seconds.|4. Add Chicken: Add the fried chicken pieces to the tempering. Toss well.|5. Garnish and Serve: Garnish with coriander leaves and serve hot."

34,"Vegetable Biryani","rice, mixed vegetables, yogurt, spices, mint leaves, coriander leaves","A fragrant rice dish cooked with mixed vegetables and aromatic spices.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9WZWdldGFi/bGUtQmlyeWFuaS1R/dWVlbi1TaXplLmpwZw","1 hour 15 minutes","soaked, cooked, layered","1. Soak Rice: Soak 1 kg of basmati rice for 30 minutes.|2. Cook Vegetables: Cook mixed vegetables (carrots, beans, peas, potatoes) with turmeric powder and salt.|3. Prepare Masala: Heat 2 tablespoons of ghee. Add cumin seeds, bay leaf, cardamom, and cinnamon. Add chopped onions and sauté. Add ginger-garlic paste and sauté. Add chopped tomatoes, chili powder, coriander powder, garam masala, and yogurt. Sauté until oil separates.|4. Layer Biryani: Layer half of the rice, cooked vegetables, masala, mint leaves, and coriander leaves. Top with the remaining rice.|5. Drizzle Ghee and Saffron: Drizzle ghee and saffron water over the rice.|6. Dum Cooking: Cook on low heat for 20-30 minutes.|7. Serve Hot: Serve the vegetable biryani hot with raita."

35,"Sambar","lentils, mixed vegetables, tamarind, sambar powder, mustard seeds, curry leaves","A tangy lentil and vegetable stew from South India, served with rice or idli.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9TYW1iYXIt/UXVlZW4tU2l6ZS5q/cGc","45 minutes","cooked, simmered, tempered","1. Cook Lentils: Cook 1/2 cup of toor dal until soft.|2. Prepare Vegetables: Chop mixed vegetables (drumsticks, carrots, onions, tomatoes).|3. Prepare Tamarind: Soak a small ball of tamarind in warm water and extract the juice.|4. Heat Oil: Heat 2 tablespoons of oil. Add mustard seeds, fenugreek seeds, and curry leaves. Let them splutter.|5. Add Onions and Vegetables: Add chopped onions and vegetables. Sauté until tender.|6. Add Tamarind and Sambar Powder: Add tamarind extract, 2 tablespoons of sambar powder, and salt. Simmer for 15 minutes.|7. Add Lentils: Add the cooked lentils and mix well. Simmer for 10 minutes.|8. Garnish and Serve: Garnish with coriander leaves and serve hot with rice or idli."
